"aicc","model"
2249.10686314229,"(0,0,2)(3,3,1)[12]"
2249.29525649656,"(0,1,2)(2,3,1)[12]"
2249.31450588623,"(0,1,1)(2,3,1)[12]"
2249.39102510777,"(0,2,1)(2,3,4)[12]"
2249.43802764282,"(0,0,1)(0,3,3)[12]"
2249.44653474215,"(0,0,3)(2,3,1)[12]"
2249.51194722512,"(0,0,4)(2,3,1)[12]"
2249.70326558318,"(1,1,4)(0,3,2)[12]"
2249.83851226526,"(0,1,2)(5,3,0)[12]"
2249.91089413707,"(4,1,1)(0,3,2)[12]"
2249.99216103366,"(3,1,2)(0,3,2)[12]"
2250.02678148741,"(0,1,1)(5,3,0)[12]"
2250.11944673594,"(0,1,1)(0,3,2)[12]"
2250.12816976913,"(2,1,3)(0,3,2)[12]"
2250.16180792947,"(3,1,0)(3,3,1)[12]"
2250.30117100929,"(0,1,3)(2,3,1)[12]"
2250.30915260582,"(0,1,5)(0,3,2)[12]"
2250.73943277278,"(0,2,1)(4,3,1)[12]"
2250.96734886307,"(1,1,0)(3,3,1)[12]"
2251.15800812554,"(0,2,1)(0,3,2)[12]"
2251.16486300036,"(0,0,1)(1,3,2)[12]"
2251.17686229602,"(5,1,0)(0,3,2)[12]"
2251.18320301774,"(0,0,1)(2,3,2)[12]"
2251.4358179211,"(3,1,1)(2,3,1)[12]"
2251.57298713206,"(0,0,1)(0,3,4)[12]"
2251.59071880517,"(0,0,1)(1,3,3)[12]"
2251.65597546675,"(0,1,4)(2,3,1)[12]"
2251.76111501986,"(0,1,0)(0,3,3)[12]"
2251.84841825883,"(2,1,2)(2,3,1)[12]"
2252.21226053932,"(4,1,0)(0,3,2)[12]"
2252.31638138286,"(0,0,2)(2,3,1)[12]"
2252.78104665599,"(1,1,3)(2,3,1)[12]"
2252.96013844992,"(0,1,0)(1,3,2)[12]"
2253.12150757122,"(0,1,0)(1,3,3)[12]"
2253.22553435704,"(3,1,0)(0,3,2)[12]"
2253.35365489917,"(0,0,1)(2,3,3)[12]"
2253.37329176978,"(0,0,1)(3,3,2)[12]"
2253.55285465461,"(1,1,1)(2,3,1)[12]"
2253.5603007656,"(0,1,0)(0,3,4)[12]"
2253.62844595568,"(0,0,1)(1,3,4)[12]"
2253.63283086325,"(0,0,1)(0,3,5)[12]"
2253.68475714477,"(0,1,0)(0,3,5)[12]"
2254.23685566998,"(0,0,1)(5,3,1)[12]"
2254.25874539182,"(2,1,0)(0,3,2)[12]"
2254.30622516604,"(1,1,0)(0,3,2)[12]"
2254.38344568669,"(0,2,1)(3,3,1)[12]"
2254.4031471004,"(0,0,2)(5,3,0)[12]"
2254.62713639604,"(0,1,0)(2,3,2)[12]"
2254.73738689952,"(2,1,0)(2,3,1)[12]"
2254.93040308759,"(2,1,0)(5,3,0)[12]"
2255.19145746503,"(0,1,0)(3,3,2)[12]"
2255.38209987439,"(0,0,1)(3,3,3)[12]"
2255.5052387369,"(0,0,1)(4,3,2)[12]"
2255.51107174585,"(0,1,0)(5,3,1)[12]"
2255.53582955301,"(3,1,0)(2,3,1)[12]"
2255.62600796532,"(0,0,1)(2,3,4)[12]"
2255.7771076231,"(0,0,1)(1,3,5)[12]"
2255.80302648125,"(0,2,2)(4,3,0)[12]"
2255.86010090271,"(0,1,0)(4,3,2)[12]"
